refran;Categoría;categoria2
 Si en mayo no vieres lodo, dalo por perdido todo;Meses del año;Mayo
 Más vale un agua entre abril y mayo que los bueyes y el carro;Meses del año;Mayo
 Lluévame abril y mayo, y a los otros todo el año;Meses del año;Mayo
 Llueva para mi, abril y mayo, y para ti todo el año;Meses del año;Mayo
 Mayo mojado, del barbecho hace prado;Meses del año;Mayo
 Lluvioso mayo, seguro del año;Meses del año;Mayo
 Mayo frío, mucho trigo;Meses del año;Mayo
 Mayo frío, torta de trigo, pero no de vino;Meses del año;Mayo
 Mayo ventoso es para el labrador hermoso;Meses del año;Mayo
 Nieblas en marzo, escarchas en mayo;Meses del año;Mayo
 Mayo hortelano, mucha paja y poco grano;Meses del año;Mayo
 Agua de mayo quita aceite y no da grano;Meses del año;Mayo
 Dios nos libre de las heladas de mayo;Meses del año;Mayo
 Helada de mayo, agua en la mano;Meses del año;Mayo
 Si no hubiera mayo, no hubiera mal año;Meses del año;Mayo
 Hielos en la cruz de mayo, siempre hacen daño;Meses del año;Mayo
 El mes de mayo es el mes más largo que tiene el año. ;Meses del año;Mayo
 Agua de mayo, cernida por un paño;Meses del año;Mayo
 Si mayo bien llovió, seco a junio sacó;Meses del año;Mayo
 En mayo la hoz en la mano, la del heno, no la del centeno;Meses del año;Mayo
 El que en abril riega, en mayo siega;Meses del año;Mayo
 La bellota que no se ve en mayo, no se ve en todo el año;Meses del año;Mayo
 Truenos por mayo, vientos a chorros;Meses del año;Mayo
 Por mayo llueve a rayos;Meses del año;Mayo
 El buen madero, para mayo lo quiero;Meses del año;Mayo
 El queso y el barbecho para mayo esté hecho;Meses del año;Mayo
 Mayo pardo, señal de buen año;Meses del año;Mayo
 Mayo pardo, junio claro;Meses del año;Mayo
 Aró quien aró, que mayo llegó;Meses del año;Mayo
 Mayo frío, año de mucho frío;Meses del año;Mayo
 Cuando marzo mayea, mayo marcea;Meses del año;Mayo
 Siembra perejil en mayo, y lo tendrás todo el año;Meses del año;Mayo
 Rocío y fresco en mayo, dan vino a la viña y heno al caballo Junio;Meses del año;Mayo
 Hasta el cuarenta de mayo no te quites el sayo y si junio es ruin hasta el fin;Meses del año;Junio
 Junio claro y fresquito, para todo es bendito;Meses del año;Junio
 Por junio el mucho calor, nunca asusta al labrador;Meses del año;Junio
 Junio brillante, año abundante;Meses del año;Junio
 Aguas en junio, infortunio;Meses del año;Junio
 En junio hoz en puño;Meses del año;Junio
 Junio al principio lluvioso, anuncia verano caluroso;Meses del año;Junio
 Si junio viene solano, se va el fruto de las manos;Meses del año;Junio
 Junio hortelano, mucha paja y poco grano;Meses del año;Junio
 Cielo de junio, limpio como ninguno. ;Meses del año;Junio
 Por mucho que quiera ser en julio poco ha de llover;Meses del año;Julio
 Julio caliente, quema al más valiente;Meses del año;Julio
 Julio normal, seca el manantial;Meses del año;Julio
 En julio, beber y sudar y en balde el fresco buscar;Meses del año;Julio
 En julio, el mozo en la acequia o en el pozo;Meses del año;Julio
 Dice el labrador al trigo: para julio te espero, amigo;Meses del año;Julio
 Aunque raras, muy violentas son por julio las tormentas;Meses del año;Julio
 La lluvia de julio hace madera;Meses del año;Julio
 Si en julio llueve, renace la hierba y el trigo se pierde;Meses del año;Julio
 En julio de la uva empieza el zumo;Meses del año;Julio
 Junio, julio y agosto, ni col, ni mujer ni mosto;Meses del año;Julio
 Julio, lo verde y lo maduro;Meses del año;Julio
 En julio, el melón echa color;Meses del año;Julio
 Que te bendiga julio, si mayo no pudo. Agosto;Meses del año;Julio
 No estés al sol sin sombrero, ni en agosto, ni en enero;Meses del año;Agosto
 Agosto fríe el rostro;Meses del año;Agosto
 Ni en agosto caminar, ni en diciembre navegar;Meses del año;Agosto
 Por la Virgen de agosto a las siete ya está fosco;Meses del año;Agosto
 En agosto a sol puesto no te conozco;Meses del año;Agosto
 En agosto, frío en rostro;Meses del año;Agosto
 Agosto, por el día fríe el rostro, pero por la noche frío en rostro;Meses del año;Agosto
 Agosto todo lo seca, menos el rostro;Meses del año;Agosto
 Agosto tiene la culpa y septiembre lleva la fruta;Meses del año;Agosto
 Lo que agosto madura, septiembre lo asegura;Meses del año;Agosto
 En agosto, sandía y melón un buen refresco son;Meses del año;Agosto
 Agosto hace el mosto;Meses del año;Agosto
 Bueno es agosto para el azafrán, miel y mosto;Meses del año;Agosto
 Cuando llueve en agosto, llueve miel y llueve mosto ;Meses del año;Agosto
 Lluvias en agosto, miel y mosto;Meses del año;Agosto
 Agua en agosto, miel y mosto;Meses del año;Agosto
 Agua de agosto, azafrán, miel y mejor mosto;Meses del año;Agosto
 Tormentas en el mes de agosto, buenos racimos y mejor mosto;Meses del año;Agosto
 Si da por ser tormentoso agosto será luctuoso;Meses del año;Agosto
 Cuando lloviere en agosto no eches tu dinero en mosto;Meses del año;Agosto
 Por agosto las tronadas suelen ser más pesadas;Meses del año;Agosto
 Agua por la Virgen de agosto, quita aceite y agua el mosto. ;Meses del año;Agosto
 El agua agostera destroza la era, pero apaña la rastrojera;Meses del año;Agosto
 En agosto está el secreto de los doce meses completos;Meses del año;Agosto
 Primer día de agosto, primer día de invierno;Meses del año;Agosto
 Agosto seca las fuentes y septiembre se lleva los puentes;Meses del año;Agosto
 A agosto y septiembre pocos los entienden;Meses del año;Agosto
 Quien en agosto ara, riqueza prepara;Meses del año;Agosto
 En agosto, quien no goza de él, es loco;Meses del año;Agosto
 Por agosto, con las aguas primeras, entra el otoño;Meses del año;Agosto
 Pájaros en agosto, gordos como tordos Septiembre;Meses del año;Agosto
 Marzo y septiembre son cual hermanos: uno dice adiós al invierno y otro al verano;Meses del año;Septiembre
 Septiembre es frutero, alegre y festero;Meses del año;Septiembre
 Por el veranillo de San Miguel están los frutos como la miel;Meses del año;Septiembre
 En septiembre el vendimiador, corta los racimos de dos en dos;Meses del año;Septiembre
 Septiembre o seca las fuentes o arrastra los puentes;Meses del año;Septiembre
 Si en Septiembre comienza a llover, Otoño seguro es;Meses del año;Septiembre
 Septiembre benigno, octubre florido;Meses del año;Septiembre
 Buen tiempo en septiembre, mejor en diciembre;Meses del año;Septiembre
 Septiembre, el que no tenga ropa que tiemble;Meses del año;Septiembre
 Septiembre: el mes más malo que el año tiene;Meses del año;Septiembre
 En septiembre, el enfermo tiemble;Meses del año;Septiembre
 Del mes que entra con abad y sale con fraile, Dios nos guarde;Meses del año;Septiembre
" Septiembre, más que septiembre... ""se tiemble""";Meses del año;Septiembre
 En septiembre, a fin de mes, el calor vuelve otra vez;Meses del año;Septiembre
 El verano de San Miguel faltará muy rara vez;Meses del año;Septiembre
 Todo fruto viene bien con calor por San Miguel;Meses del año;Septiembre
 Por el veranillo de San Miguel están los frutos como la miel;Meses del año;Septiembre
 Por San Miguel los higos son miel;Meses del año;Septiembre
 Lluvia de septiembre es buena para las viñas y mejor para las siembras;Meses del año;Septiembre
 Septiembre muy mojado, mucho mosto pero aguado;Meses del año;Septiembre
 Septiembre es bueno, si de primero al treinta pasa sereno;Meses del año;Septiembre
 Por septiembre quien tenga trigo que siembre;Meses del año;Septiembre
 En septiembre, cosecha y no siembres;Meses del año;Septiembre
 En septiembre, come pan y uvas, si tienes;Meses del año;Septiembre
 En septiembre truenos, ni malos ni buenos;Meses del año;Septiembre
 De septiembre, a los días primeros, entra el ciervo en el picadero;Meses del año;Septiembre
 Mayo y septiembre son dos hermanos: uno en invierno y otro en verano;Meses del año;Septiembre
 Septiembre sereno, ni malo ni bueno;Meses del año;Septiembre
 El sol septembrino, madura el membrillo;Meses del año;Septiembre
 Por febrero y septiembre a las seis anochece y a las seis amanece. ;Meses del año;Septiembre
 En octubre de hoja el campo se cubre;Meses del año;Octubre
 En octubre caída de hojas y lumbre;Meses del año;Octubre
 En octubre no molesta la lumbre;Meses del año;Octubre
 Por octubre, rescoldito de lumbre;Meses del año;Octubre
 En octubre, el hogar de leña cubre;Meses del año;Octubre
 El cordonazo de San Francisco se hace notar, tanto en la tierra como en el mar;Meses del año;Octubre
 En octubre, el enfermo que no se agarra, cae con la hoja de parra;Meses del año;Octubre
 En octubre, de la sombra huye;Meses del año;Octubre
 Octubre lluvioso, año copioso;Meses del año;Octubre
 El agua de octubre, siete lunas cubre;Meses del año;Octubre
 En octubre, agua del diez al veinte, para todo es conveniente;Meses del año;Octubre
 Agua de octubre, las mejores frutas pudre;Meses del año;Octubre
 Dejan recuerdos espantosos los octubres que comienzan tormentosos;Meses del año;Octubre
 El otoño en Castilla, es una maravilla;Meses del año;Octubre
 En octubre de la sombra huye, pero si sale el sol, cuídate de la insolación;Meses del año;Octubre
 Hacia la Virgen de El Pilar, comienza el tiempo a cambiar;Meses del año;Octubre
 De octubre, a primeros, repón los aperos;Meses del año;Octubre
 En octubre, estercola y cubre;Meses del año;Octubre
 Si octubre refleja, aguza la reja;Meses del año;Octubre
 En octubre toma la yunta y cubre;Meses del año;Octubre
 En octubre, toma los bueyes y cubre;Meses del año;Octubre
 De duelo se cubre, quien no sembró en octubre;Meses del año;Octubre
 Octubre que termina claro, favorece lo sembrado;Meses del año;Octubre
 A la primera agua de octubre, siembra y cubre;Meses del año;Octubre
 Por octubre, echa pan y cubre;Meses del año;Octubre
 En octubre, la tierra estercola y cubre;Meses del año;Octubre
 En octubre, tu tierra cubre;Meses del año;Octubre
 Cuando en septiembre acabes de vendimiar, ponte enseguida en octubre a sembrar;Meses del año;Octubre
 El labrador para octubre sus deudas cubre;Meses del año;Octubre
 El tiempo de octubre loco, derrama de todo un poco;Meses del año;Octubre
 En octubre podarás, mas la encina dejarás;Meses del año;Octubre
 La nieve en octubre, siete meses cubre;Meses del año;Octubre
 Septiembre benigno, octubre florido;Meses del año;Octubre
 La luna de octubre, siete días cubre y si llueve, nueve;Meses del año;Octubre
 Si octubre es corto en granos, será largo en caldos;Meses del año;Octubre
 Octubre vinatero, padre del buen enero;Meses del año;Octubre
 De octubre a primeros, entran los ciervos en el picadero. ;Meses del año;Octubre
Noviembre dichoso mes que entra con Todos los Santos, media con San Eugenio y sale con San Andrés;Noviembre;
 Entre Todos los Santos y Navidad, es invierno de verdad;Noviembre;
 Por Todos los Santos, anda el campo blanco;Noviembre;
 Por los Santos, nieve en los altos, por San Andrés, nieve en los pies;Noviembre;
 Por Todos los Santos, los trigos sembrados y todos los frutos en casa encerrados;Noviembre;
 Por los Santos, siembra trigo y siembra cardo;Noviembre;
 No pase noviembre sin que el labrador siembre. Diciembre;Noviembre;
Diciembre es, del año, el mes más anciano;Meses del año;Diciembre
 Diciembre es un viejo que arruga el pellejo;Noviembre;
 Tras diciembre nebuloso viene enero polvoroso;Noviembre;
 En diciembre, se hielan las cañas y se asan las castañas;Noviembre;
 Diciembre, mes de hielos y mes de nieves;Noviembre;
 En diciembre la tierra duerme;Noviembre;
 En diciembre, hielos y nieve;Noviembre;
 En diciembre hielo;Noviembre;
